#x1 y1 z1 -> x2 y2 z2
#1 -> 11
6.300000 3.300000 6.000000 6.240654 3.073831 5.965650
#2 -> 12
2.500000 5.800000 2.700000 2.500000 5.800000 2.700000
#3 -> 13
5.100000 1.900000 7.100000 5.594348 2.205583 7.186429
#4 -> 14
3.000000 5.900000 2.100000 2.978819 5.934436 2.145755
#5 -> 15
6.300000 2.900000 5.600000 6.299999 2.900000 5.600000
#6 -> 16
1.800000 6.500000 3.000000 1.800000 6.500000 3.000000
#7 -> 13
5.800000 2.200000 7.600000 5.594348 2.205583 7.186429
#8 -> 14
3.000000 6.600000 2.100000 2.978819 5.934436 2.145755
#9 -> 18
4.900000 2.500000 4.500000 2.776134 5.702565 2.583604
#10 -> 16
1.700000 7.300000 2.900000 1.800000 6.500000 3.000000
#11 -> 1 13 15
#6.240654 3.073831 5.965650 6.300000 3.300000 6.000000
6.240654 3.073831 5.965650 5.594348 2.205583 7.186429
6.240654 3.073831 5.965650 6.299999 2.900000 5.600000
#12 -> 2 16 17
#2.500000 5.800000 2.700000 2.500000 5.800000 2.700000
2.500000 5.800000 2.700000 1.800000 6.500000 3.000000
2.500000 5.800000 2.700000 4.906919 2.524236 4.503990
#13 -> 3 7 11
#5.594348 2.205583 7.186429 5.100000 1.900000 7.100000
#5.594348 2.205583 7.186429 5.800000 2.200000 7.600000
#5.594348 2.205583 7.186429 6.240654 3.073831 5.965650
#14 -> 4 8 17
#2.978819 5.934436 2.145755 3.000000 5.900000 2.100000
#2.978819 5.934436 2.145755 3.000000 6.600000 2.100000
2.978819 5.934436 2.145755 4.906919 2.524236 4.503990
#15 -> 5 11 18
#6.299999 2.900000 5.600000 6.300000 2.900000 5.600000
#6.299999 2.900000 5.600000 6.240654 3.073831 5.965650
6.299999 2.900000 5.600000 2.776134 5.702565 2.583604
#16 -> 6 10 12
#1.800000 6.500000 3.000000 1.800000 6.500000 3.000000
#1.800000 6.500000 3.000000 1.700000 7.300000 2.900000
#1.800000 6.500000 3.000000 2.500000 5.800000 2.700000
#17 -> 12 14 18
#4.906919 2.524236 4.503990 2.500000 5.800000 2.700000
#4.906919 2.524236 4.503990 2.978819 5.934436 2.145755
4.906919 2.524236 4.503990 2.776134 5.702565 2.583604
#18 -> 9 15 17
#2.776134 5.702565 2.583604 4.900000 2.500000 4.500000
#2.776134 5.702565 2.583604 6.299999 2.900000 5.600000
#2.776134 5.702565 2.583604 4.906919 2.524236 4.503990
