4.900000 3.500000 1.400000 

4.900000 3.500000 1.400000 


4.900000 3.000000 1.400000 

4.864939 3.075164 1.453428 


4.700000 3.200000 1.300000 

4.695490 3.211200 1.334181 


4.600000 3.100000 1.500000 

4.710113 3.138191 1.420470 


4.700000 3.500000 1.300000 

4.714616 3.474578 1.328774 


4.900000 3.500000 1.600000 

4.912917 3.441197 1.574941 


4.600000 3.400000 1.400000 

4.648432 3.388007 1.368780 


5.000000 3.400000 1.500000 

4.948571 3.435229 1.505771 


4.900000 3.400000 1.600000 

4.912917 3.441197 1.574941 


4.900000 3.100000 1.500000 

4.864939 3.075164 1.453428 


4.900000 3.500000 1.400000 

4.714616 3.474578 1.328774 


4.900000 3.500000 1.400000 

4.948571 3.435229 1.505771 


4.864939 3.075164 1.453428 

4.710113 3.138191 1.420470 


4.695490 3.211200 1.334181 

4.710113 3.138191 1.420470 


4.695490 3.211200 1.334181 

4.648432 3.388007 1.368780 


4.912917 3.441197 1.574941 

4.948571 3.435229 1.505771 


4.648432 3.388007 1.368780 

4.714616 3.474578 1.328774 


