"Instancia";"custo minimo";"tempo decorrido";"ultima atualizacao do gbest";"vetor de topologia"
10.3d1;12,871082919478622;0,522217592000000;20;De: 0 - Para: 10 - Peso: 0
 De: 1 - Para: 17 - Peso: 0
 De: 2 - Para: 12 - Peso: 0
 De: 3 - Para: 13 - Peso: 0
 De: 4 - Para: 14 - Peso: 0
 De: 5 - Para: 15 - Peso: 0
 De: 6 - Para: 12 - Peso: 0
 De: 7 - Para: 13 - Peso: 0
 De: 8 - Para: 16 - Peso: 0
 De: 9 - Para: 15 - Peso: 0
 De: 10 - Para: 12 - Peso: 0
 De: 10 - Para: 14 - Peso: 0
 De: 11 - Para: 17 - Peso: 0
 De: 11 - Para: 16 - Peso: 0
 De: 11 - Para: 13 - Peso: 0
 De: 14 - Para: 16 - Peso: 0
 De: 15 - Para: 17 - Peso: 0
 

